"company","domain","country","town","q1_verdict","tool_level","q1_rank","sell_angle","tool_evidence","q1_category","q1_reason","niche","source","Annual Revenue","Size","Industry","Description"
"CERAMICA CARMELO FIOR","carmelofior.com.br","BR","CORDEIRÓPOLIS","OUT","","","","","commodity volume","criterion 3: large fixed-SKU producer, no bespoke, custom or own-collection language anywhere in the description","Ceramic / Tile (verify)","Cersaie 2026","200M-500M","1,001-5,000 employees","Construction","A Cerâmica Carmelo Fior Ltda é uma empresa familiar fundada em 1989 que atua no setor cerâmico, tendo como objetivo produzir pisos e revestimento para o mercado interno e externo.

Possui 4 unidades fabris, sendo matriz e filial localizadas no município de Cordeirópolis, região central do Estado de São Paulo, a terceira unidade se localiza no município de Nossa Senhora do Socorro, no estado de Sergipe e a quarta unidade em Criciúma, no Estado de Santa Catarina.
A empresa conta com 5 marcas: Cecafi, Fioranno, Idealle, Arielle, Pisoforte."
"CERAMICA CLEOPATRA GROUP","cleopatraceramics.com","EG","GIZA","OUT","","","","","commodity volume","criterion 3: large fixed-SKU producer, no bespoke, custom or own-collection language anywhere in the description","Ceramic / Tile (verify)","Cersaie 2026","1B-10B","10,001+ employees","Glass, Ceramics and Concrete Manufacturing","It was in 1983 that Group Cleopatra first came into existence and when I look back over the intervening years I derive a deep sense of personal pride and satisfaction from our achievements. Today, the Egyptian economy compares favorably with other developed nations and our country has made an indelible mark in areas like tourism, investment and trade. Our vision to diversify has been realized and we have left our mark on the agriculture, mining, tourism and development sectors. 25 year ago we started out on this journey with 300 members of staff. Today the Cleopatra family has grown to more than 14000. Today, we continue to explore new horizons and while our rich history of achievement has been the direct result of hard work, persistence and commitment, each and every member of Cleopatra Group has played a vital role in this development by always adhering to our core values and beliefs. So let us approach each new day, confident that we will be not only be here for the next couple of decades, but we will also be pioneering the way forward for generations to come. Cleopatra Group Chairperson Mohamed M. Abou El Enein"
"CERAMICA DOLOMITE","ceramicadolomite.it","IT","BORGO VALBELLUNA","OUT","","","","","commodity volume","criterion 3: large fixed-SKU producer, no bespoke, custom or own-collection language anywhere in the description","Ceramic / Tile (verify)","Cersaie 2026","75M-200M","201-500 employees","Glass, Ceramics and Concrete Manufacturing","Ceramica Dolomite, founded in 1965, is located in Borgo Valbelluna, a town in the foothills of the Dolomiti, the renowned eastern Alps; since forever it's the expression of the know-how to make ceramic sanitaryware that combines the passion and the knowledge of our people with the most advanced and automated production technologies."
"CERAMICA MAYOR","ceramicamayor.com","ES","CALLOSA D'EN SARRIA","OUT","","","","","revenue","500K-1M is under the $1M gate (S7.4)","Ceramic / Tile (verify)","Cersaie 2026","500K-1M","2-10 employees","Utilities","Empresa especializada en el gres obstruido y reciclado. Construimos  piscinas para hoteles de lujo y colegios públicos para que los niños aprendan a flotar con clase."
"CERAMICA RONDINE","ceramicarondine.it","IT","RUBIERA","OUT","","","","","commodity volume","criterion 3: large fixed-SKU producer, no bespoke, custom or own-collection language anywhere in the description","Ceramic / Tile (verify)","Cersaie 2026","75M-200M","201-500 employees","Glass, Ceramics and Concrete Manufacturing","La storia di Rondine racconta di un gruppo industriale che a partire dal 1961 ha saputo crescere e consolidarsi, creare i prodotti giusti per mercati sempre più allargati e complessi, utilizzare nuove tecnologie, sviluppare processi produttivi efficienti e strategie commerciali vincenti. Tutto questo ha portato Ceramica Rondine ad essere quello che è oggi, ovvero una delle più importanti realtà industriali del principale comprensorio ceramico italiano."
"CERAMICA SANT'AGOSTINO","ceramicasantagostino.it","IT","TERRE DEL RENO","OUT","","","","","middleman","gate 3: reads as distributor, importer or retailer (wholesal) with no making language","Ceramic / Tile (verify)","Cersaie 2026","75M-200M","201-500 employees","Wholesale Building Materials","IL VALORE DI UNA IDENTITÀ RACCHIUSO IN OLTRE 50 ANNI DI STORIA

Ceramica Sant’Agostino, con le forti radici sul territorio e gli oltre cinquant’anni di storia, rappresenta una realtà aziendale internazionale che, pur con una mentalità decisamente proiettata al futuro, ha saputo conservare intatti i propri valori e le proprie tradizioni imprenditoriali.  L’azienda ha sempre concentrato le ricerche stilistiche e tecnologiche verso progetti coerenti e mirati a garantire la massima qualità dei materiali, investendo continuamente nell’innovazione di prodotto e insieme di processo produttivo. L’alto contenuto estetico e le elevate prestazioni tecniche dei propri prodotti, sono il risultato di scelte distintive, che hanno portato il marchio ad essere un punto di riferimento nel panorama ceramico mondiale. Seguendo questa logica, Ceramica Sant’Agostino ha creato ECOQUALITY: un progetto ambizioso di tecnologia avanzata, etica e sostenibilità, messo a punto per coordinare tutti gli sforzi dell’azienda nel totale rispetto delle più rigide normative europee ed internazionali di tutela dell’ambiente, delle persone, dei consumatori. Questo processo in continua evoluzione rende Ceramica Sant’Agostino un’eccellenza nello sviluppo di un modello industriale sostenibile."
"CERAMICANDA","ceramicanda.com","IT","VEGGIA DI CASALGRANDE","OUT","","","","","wrong business","trade magazine or publisher, not a maker","Ceramic / Tile (verify)","Cersaie 2026","500K-1M","2-10 employees","Book and Periodical Publishing","Da oltre 25 anni nel distretto ceramico.
Ceramicanda è una società editoriale che dal 1995 si occupa del mondo della ceramica attraverso diversi strumenti di comunicazione:

– Programma TV: Ceramicanda

– Magazine: Ceramicanda | AllForTiles

– Freepress: Il Dstretto

– AllForTiles: Fiera | On the road

– Web: ceramicanda.com | eccetile.com

– App: Ceramicanda"
"CERCOL","cercol.com","IT","SASSUOLO","OUT","","","","","wrong business","glazes, inks, adhesives or sealants. Raw input, no pattern","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","51-200 employees","Chemical Manufacturing","CERCOL nasce nel 1977 a Sassuolo, più di 40 anni di esperienza e passione vissuti nel cuore del comprensorio ceramico italiano hanno permesso di interpretare le evoluzioni tecniche del settore edilizio e di porsi come punto di riferimento nel mercato dei prodotti professionali per l'edilizia."
"CERCOM","cercomceramiche.it","IT","CASALGRANDE","OUT","","","","","commodity volume","criterion 3: large fixed-SKU producer, no bespoke, custom or own-collection language anywhere in the description","Ceramic / Tile (verify)","Cersaie 2026","","201-500 employees","Glass, Ceramics and Concrete Manufacturing","Brand founded in 1975 and acquired by the Serenissima Cir Group in 2005.Cercom transforms its history into identity and recognition, to communicate smoothly with the world of architecture and professi"
"CICOGRES","halconceramicas.com","ES","ALCORA (CASTELLÓN)","OUT","","","","","commodity volume","criterion 3: large fixed-SKU producer, no bespoke, custom or own-collection language anywhere in the description","Ceramic / Tile (verify)","Cersaie 2026","75M-200M","201-500 employees","Glass, Ceramics and Concrete Manufacturing","Halcón Cerámicas fue constituida en Alcora (Castellón) en 1.963 y cuenta con un accionariado estable de 3 familias desde 1.992.

- En 1.963 comienzan sus operaciones con un proyecto cuasi cooperativo con un horno de ciclo continuo alimentado por leña con una producción diaria de 400 metros.

- En 1.975 fue sustituido por uno tipo bi-canal alimentado por fuel oil con una capacidad 1.000 metros diarios.

- En 1.988 comienza la mono cocción porosa con un horno alimentado por gas natural con un incremento de producción hasta 5.000 metros diarios y en 1.992 se duplica.

- En 1.995 se arrancó la planta principal de la Compañía, Halcón 2, con una capacidad productiva total del grupo de 34.000 metros diarios, iniciándose la producción de porcelánico esmaltado.

- En 2.001 se compró GRESITEC.

- Actualmente en el Grupo Halcón diseñamos, producimos y distribuimos la más amplia gama de productos de recubrimientos cerámicos y tenemos como mision “ser lideres en costes, para ofrecer un producto comercial a un precio competitivo, con el mejor servicio”."
"CINCA","cinca.pt","PT","FIAES","OUT","","","","","commodity volume","criterion 3: large fixed-SKU producer, no bespoke, custom or own-collection language anywhere in the description","Ceramic / Tile (verify)","Cersaie 2026 + Coverings 2027","75M-200M","201-500 employees","Wholesale Building Materials","We have been working for over 50 years to bring to you timeless Ceramics.
We combine substance and energy together with the fifth element of our imagination to make products that project boldness and modernity into the future.

Knowledge and experience passed through generations, from the pioneers to a young and dynamic technical team allow CINCA an incomparable control of techniques and ceramic solutions.

Since 1964.

5 production plants in Portugal.

Present in over 70 countries."
"CIR","cir.it","IT","CASALGRANDE","OUT","","","","","commodity volume","criterion 3: large fixed-SKU producer, no bespoke, custom or own-collection language anywhere in the description","Ceramic / Tile (verify)","Cersaie 2026","","201-500 employees","Glass, Ceramics and Concrete Manufacturing","Da oltre 50 anni CIR Ceramiche propone soluzioni in gres porcellanato a forte impatto decorativo. Una ricerca che si esprime attraverso lo studio di formati, grafiche, colori e texture inedite."
"CISAL","huberitalia.com","IT","SAN MAURIZIO D'OPAGLIO","OUT","","","","","wrong medium","sanitaryware and bathroom fittings. 3D, explicit exclusion","Ceramic / Tile (verify)","Cersaie 2026","75M-200M","201-500 employees","Wholesale Building Materials","HUBER rappresenta cinquant’anni di know-how tecnologico e produttivo, incentrato sul prodotto di rubinetteria più complesso e sofisticato: il termostatico. 
Sul finire degli anni ’80 il Sig. Max Huber decide di progettare e conseguentemente realizzare i primi Rubinetti Termostatici per il bagno con un Design e con caratteristiche atte a affrontare il mercato internazionale. 
Nel 2009, la famiglia Huber acquisisce CISAL, in modo da garantire a ogni genere di clientela la più ampia e completa gamma di prodotti, integrando miscelatori termostatici, monocomando e tradizionali.
CISAL viene fondata nel 1952. I suoi prodotti fin dagli inizi innovativi e caratterizzati da un design fortemente impattante, han saputo conquistare i mercati italiani ed esteri. 
HUBER e CISAL intendono sviluppare ed elevare la propria immagine rendendola unica e riconoscibile, senza perdere l’attenzione verso le attese di designers e utilizzatori, costantemente proiettata verso la salvaguardia dell’elemento essenziale per il Pianeta: l’Acqua.

HUBER represents fifty years of know-how in technology and manufacturing, focused on the most challenging and sophisticated brassware product, the thermostatics. 
In the latest ‘80s, Max Huber decided to design and manufacture the first bathroom thermostatic valves, matching style and features suitable for the international market. 
In 2009, HUBER merged with CISAL Company, in order to guarantee the most large and various range of products, merging thermostatic, single lever and traditional mixers. 
CISAL was founded in 1952. Its products are an example of innovation with regard to design, materials, function and performance. 
HUBER and CISAL aim to develop and enhance their image, making it unique and recognizable, and to globally increase the perception of its products, constantly focused on the expectations of designers and users, and the preservations of the essential element of our planet: water.’’"
